ad_id,seller_id,title,description,car_brands,models,body_car_type,transmission,year_of_manufacture,color,mileage,engine,price,is_negotiable,created_at,updated_at,status,image
caabbe78-838b-4c39-9b4d-fefb71121d05,e6e0626d-0fc0-443f-8f6d-02d74f9eace1,Dijual Nissan March 2018 Automatic (Hijau muda) - Hatchback,"Mobil bekas Nissan, March keluaran tahun 2018, warna Hijau muda, tipe bodi Hatchback, dengan jarak tempuh 137578 km, transmisi Automatic, mesin 1.2L 4-Cyl. Harga Rp 199549157.00. Harga Pas. Hubungi penjual segera untuk informasi lebih lanjut!",Nissan,March,Hatchback,Automatic,2018,Hijau muda,137578,1.2L 4-Cyl,199549157,False,2024-03-30 21:52:56,2024-11-10 15:00:04,Active,https://example.com/placeholder.jpg
665c9136-0441-4395-bf92-c6616e4e86c7,1608134d-e9c8-4ed1-95aa-3e788a0d21e5,Dijual BMW 3 Series 2017 Automatic (Merah jambu) - Sedan,"Mobil bekas BMW, 3 Series keluaran tahun 2017, warna Merah jambu, tipe bodi Sedan, dengan jarak tempuh 137405 km, transmisi Automatic, mesin 3.0L 6-Cyl Turbo. Harga Rp 413819112.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",BMW,3 Series,Sedan,Automatic,2017,Merah jambu,137405,3.0L 6-Cyl Turbo,413819112,True,2024-11-02 13:19:16,2024-10-16 12:30:28,Sold,https://www.bmw.co.id/content/dam/bmw/common/all-models/3-series/sedan/2020/BMW-3-series-sedan-2020.png
d3f32878-d982-45b3-97d7-b3efcaf0af34,f7af9e01-a75f-4dd2-8656-f4f2ec8a87ee,Dijual Daihatsu Xenia 2017 Automatic (Jingga) - Hatchback,"Mobil bekas Daihatsu, Xenia keluaran tahun 2017, warna Jingga, tipe bodi Hatchback, dengan jarak tempuh 111813 km, transmisi Automatic, mesin 1.5L 4-Cyl. Harga Rp 224484453.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",Daihatsu,Xenia,Hatchback,Automatic,2017,Jingga,111813,1.5L 4-Cyl,224484453,True,2024-09-20 07:00:43,2024-08-20 18:12:58,Active,https://www.daihatsu.co.id/uploads/images/model-xenia.jpg
c95e30c6-26e4-4ee7-9d5e-ecbf4110265e,69987ac2-23a6-4900-a88b-bbfc869412f6,Dijual Toyota Avanza 2015 Automatic (Coklat) - SUV,"Mobil bekas Toyota, Avanza keluaran tahun 2015, warna Coklat, tipe bodi SUV, dengan jarak tempuh 105011 km, transmisi Automatic, mesin 1.5L 4-Cyl. Harga Rp 431379977.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",Toyota,Avanza,SUV,Automatic,2015,Coklat,105011,1.5L 4-Cyl,431379977,True,2024-06-15 06:47:36,2024-04-17 20:00:43,Sold,https://www.toyota.co.id/sites/default/files/styles/large/public/2023-07/Toyota%20Avanza.jpg
37c6beda-559f-42db-a64b-3c7d90e90104,7ea6e7d5-d9c5-4012-b189-6041565d4eca,Dijual Honda Mobilio 2013 Manual (Nila) - MPV,"Mobil bekas Honda, Mobilio keluaran tahun 2013, warna Nila, tipe bodi MPV, dengan jarak tempuh 165572 km, transmisi Manual, mesin 1.5L 4-Cyl. Harga Rp 99952102.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",Honda,Mobilio,MPV,Manual,2013,Nila,165572,1.5L 4-Cyl,99952102,True,2024-01-28 06:21:15,2024-10-31 06:56:28,Active,https://www.honda-indonesia.com/assets/img/cars/mobilio/main/overview-main.jpg
f21a93ec-aba9-46cd-80b9-77279733bb57,14f5811b-9959-4647-b037-3d988595b521,Dijual Toyota Yaris 2014 Automatic (Merah jambu) - MPV,"Mobil bekas Toyota, Yaris keluaran tahun 2014, warna Merah jambu, tipe bodi MPV, dengan jarak tempuh 139879 km, transmisi Automatic, mesin 1.5L 4-Cyl. Harga Rp 162506691.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",Toyota,Yaris,MPV,Automatic,2014,Merah jambu,139879,1.5L 4-Cyl,162506691,True,2024-07-14 01:22:15,2024-06-14 10:35:35,Active,https://www.toyota.co.id/sites/default/files/styles/large/public/2023-07/Toyota%20Yaris.jpg
c5be3a9f-7604-4cd6-b97c-7b6b8da2fa36,d4cd947c-3730-447f-badb-78dae8e628cc,Dijual Nissan X-Trail 2017 Manual (Koral) - MPV,"Mobil bekas Nissan, X-Trail keluaran tahun 2017, warna Koral, tipe bodi MPV, dengan jarak tempuh 129414 km, transmisi Manual, mesin 2.0L 4-Cyl. Harga Rp 360947989.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",Nissan,X-Trail,MPV,Manual,2017,Koral,129414,2.0L 4-Cyl,360947989,True,2024-09-03 03:09:00,2024-01-26 00:38:24,Active,https://example.com/placeholder.jpg
064ea3e2-45ac-40c9-b9b2-500ff270aef7,b4086c25-c23f-4f3a-a6d7-421507d87507,Dijual Honda CR-V 2015 Automatic (Nila) - MPV,"Mobil bekas Honda, CR-V keluaran tahun 2015, warna Nila, tipe bodi MPV, dengan jarak tempuh 100850 km, transmisi Automatic, mesin 1.5L Turbo. Harga Rp 479605315.00. Harga Pas. Hubungi penjual segera untuk informasi lebih lanjut!",Honda,CR-V,MPV,Automatic,2015,Nila,100850,1.5L Turbo,479605315,False,2024-03-07 12:50:27,2024-09-19 21:03:26,Sold,https://www.honda-indonesia.com/assets/img/cars/cr-v/main/overview-main.jpg
634d0f93-add8-48cc-a372-f017529a7e7d,6f8856c9-2ce6-442a-aa3f-572477ea8437,Dijual BMW 3 Series 2022 Automatic (Kuning) - SUV,"Mobil bekas BMW, 3 Series keluaran tahun 2022, warna Kuning, tipe bodi SUV, dengan jarak tempuh 21248 km, transmisi Automatic, mesin 3.0L 6-Cyl Turbo. Harga Rp 361905889.00. Harga masih bisa nego. Hubungi penjual segera untuk informasi lebih lanjut!",BMW,3 Series,SUV,Automatic,2022,Kuning,21248,3.0L 6-Cyl Turbo,361905889,True,2024-09-29 12:12:50,2024-10-29 07:20:55,Active,https://www.bmw.co.id/content/dam/bmw/common/all-models/3-series/sedan/2020/BMW-3-series-sedan-2020.png
cfbd4ff0-15da-42ae-b5d7-a9d1643e7400,cea9716e-8c1d-4498-8849-6875d636a9a5,Dijual Toyota Yaris 2018 Automatic (Hijau tua) - MPV,"Mobil bekas Toyota, Yaris keluaran tahun 2018, warna Hijau tua, tipe bodi MPV, dengan jarak tempuh 136504 km, transmisi Automatic, mesin 1.5L 4-Cyl. Harga Rp 355768116.00. Harga Pas. Hubungi penjual segera untuk informasi lebih lanjut!",Toyota,Yaris,MPV,Automatic,2018,Hijau tua,136504,1.5L 4-Cyl,355768116,False,2024-07-29 21:26:10,2024-10-14 10:23:14,Active,https://www.toyota.co.id/sites/default/files/styles/large/public/2023-07/Toyota%20Yaris.jpg
